43344,38227,26150,23923,37193,33720,36481,30669,37624,34709,34023,33624,26855,24981,22331,20386,27622,25759,25645,21519,21703,19449,23072,21098,25932,22391,9738.5,8560.6,12442,9658.9,19605,14643,25891,23298,27545,25803,24595,22892,23507,22328,25143,22785,28097,26649,25153,19791,22012,19443,23060,22178,25348,24989,16160,16070,34702,32953,28071,26691,18556,17617,22969,21686,26853,25276,23416,21367,15611,12332,17143,14963,17986,15669,11126,12599,15611,11344,17584,15094,20585,17716,31469,27577,25865,25005,23667,22868,25066,24471,23368,22478,24821,25121,21408,19996,29744,27606
43293,38232,26150,23960,37120,33653,36538,30696,37621,34796,34053,33692,26837,24952,22290,20359,27563,25771,25738,21514,21658,19400,23060,21106,25918,22381,9683.6,8506.7,12405,9623.4,19664,14618,25837,23254,27491,25798,24579,22948,23426,22364,25081,22831,28019,26625,25150,19680,21979,19394,22978,22107,25339,25021,16124,16084,34760,32981,28094,26720,18541,17604,22949,21683,26764,25143,23390,21412,15547,12319,17108,14933,17944,15614,11083,12640,15575,11318,17600,15086,20586,17743,31569,27647,25907,25056,23701,22925,25068,24444,23313,22473,24809,25254,21353,19860,29676,27584
43276,38234,26144,23965,37103,33649,36529,30681,37623,34932,34010,33755,26856,24946,22308,20435,27584,25884,25744,21520,21687,19486,23081,21182,25870,22429,9744.5,8582.8,12437,9724.6,19611,14626,25854,23257,27512,25806,24548,22940,23378,22357,25023,22851,27985,26623,25121,19742,21963,19359,23039,22149,25352,24981,16105,16069,34758,32969,28101,26717,18544,17603,22956,21683,26829,25228,23346,21452,15557,12343,17113,14906,17953,15622,11106,12590,15580,11343,17558,15127,20547,17710,31577,27702,25891,25099,23681,22972,25105,24523,23230,22499,24797,25306,21367,19903,29630,27570
43257,38265,26131,23953,37046,33641,36506,30723,37556,34876,33980,33778,26804,24936,22314,20432,27587,25879,25719,21510,21720,19476,23053,21171,25862,22459,9695.9,8515,12430,9696.7,19615,14687,25822,23244,27486,25802,24547,22965,23364,22398,25019,22921,28011,26672,25088,19733,21932,19318,23062,22178,25295,24983,16154,16068,34764,32986,28117,26704,18532,17599,22935,21673,26742,25101,23419,21456,15533,12335,17089,14962,17886,15554,11099,12696,15607,11365,17585,15132,20563,17721,31547,27686,25877,25085,23667,22985,25104,24476,23118,22469,24730,25267,21300,19840,29526,27521
43246,38278,26146,24018,37045,33646,36526,30697,37583,34848,33988,33748,26816,24935,22314,20418,27571,25786,25668,21488,21719,19507,23063,21159,25845,22449,9787.7,8621.2,12476,9728.8,19640,14606,25843,23261,27548,25843,24556,22982,23366,22386,25023,22877,28035,26682,25132,19792,21924,19336,23071,22212,25292,24951,16121,16048,34772,32989,28108,26715,18548,17593,22969,21713,26783,25155,23405,21478,15559,12390,17126,14946,17937,15612,11084,12607,15608,11419,17633,15134,20535,17703,31551,27726,25862,25095,23637,22972,25101,24453,23157,22440,24627,25088,21363,19875,29624,27590
43258,38261,26145,23995,37030,33628,36512,30677,37543,34822,33989,33747,26801,24932,22306,20424,27546,25659,25689,21435,21701,19466,23036,21137,25831,22414,9681.7,8518.7,12427,9726.8,19671,14714,25835,23267,27476,25806,24531,22968,23346,22371,25011,22858,28031,26700,25108,19777,21939,19334,23017,22164,25301,24930,16125,16031,34745,32987,28083,26720,18538,17585,22965,21724,26789,25201,23378,21447,15589,12385,17126,14972,17932,15596,11112,12673,15629,11372,17623,15156,20604,17758,31510,27665,25852,25061,23630,22956,25030,24349,23111,22422,24597,25044,21378,19925,29600,27604
43219,38294,26143,24014,37031,33677,36536,30687,37579,34813,33996,33739,26846,24947,22257,20392,27570,25697,25667,21425,21658,19484,23066,21141,25829,22425,9713.9,8532.3,12425,9706.2,19638,14665,25879,23285,27506,25834,24540,22976,23356,22367,25030,22846,28005,26660,25139,19830,21979,19361,23081,22215,25281,24951,16120,16064,34756,32994,28103,26703,18537,17599,22965,21707,26855,25262,23373,21431,15557,12394,17122,14927,17970,15635,11077,12666,15637,11401,17615,15145,20583,17737,31455,27605,25838,25065,23657,22959,25083,24378,23165,22402,24594,25008,21382,19952,29691,27658
43241,38301,26131,23980,37039,33656,36544,30652,37569,34873,34044,33734,26869,24958,22256,20398,27537,25648,25657,21429,21664,19446,23028,21125,25856,22407,9641.8,8537.8,12391,9671.3,19632,14664,25890,23298,27489,25826,24529,22968,23375,22351,25031,22825,28030,26661,25112,19791,22012,19422,23039,22199,25285,24953,16082,16079,34740,32975,28099,26713,18544,17609,22955,21690,26879,25295,23346,21463,15549,12333,17126,14975,17977,15655,11081,12621,15588,11332,17586,15141,20595,17796,31454,27627,25841,25062,23632,22983,25026,24358,23134,22376,24606,25046,21400,19975,29644,27650
43233,38296,26140,23981,37011,33644,36539,30641,37635,34934,34053,33672,26861,24959,22255,20397,27565,25643,25621,21420,21639,19486,23058,21187,25875,22431,9731.3,8579,12448,9745,19653,14658,25897,23299,27486,25839,24530,22985,23371,22354,25000,22774,28009,26634,25197,19834,21976,19419,23079,22250,25293,24929,16174,16089,34688,32933,28094,26724,18544,17606,22971,21698,26881,25284,23416,21520,15558,12424,17095,14989,17963,15669,11044,12608,15615,11383,17606,15147,20597,17789,31429,27623,25850,25028,23631,22962,25092,24397,23136,22381,24622,25000,21400,19966,29734,27683
43207,38246,26129,23980,37038,33671,36537,30654,37576,34821,34023,33738,26866,24981,22263,20423,27551,25672,25632,21453,21657,19494,23015,21121,25870,22437,9659.2,8501,12416,9696.2,19638,14712,25897,23314,27476,25841,24515,23014,23335,22356,25002,22808,28037,26682,25161,19830,22029,19479,23040,22193,25289,24931,16117,16091,34727,32949,28109,26721,18573,17624,23007,21730,26927,25336,23368,21438,15588,12355,17140,14954,17996,15659,11074,12723,15605,11360,17622,15150,20638,17808,31382,27642,25866,25060,23649,22978,24992,24324,23193,22436,24668,25069,21470,20033,29684,27701
