271183,10778,9271,214,14899,1535,21356,631,19651,756,2274,234,596,91,153,2,12,0,7,4,11,1,39,9,17,19,27,0,43,5,5,3,200,26,73,11,37,5,37,12,40,11,137,8,38,2,1,0,17940,205,266,8,1811,100,9147,2538,7046,1835,865,69,95,13,1,0,46047,228,52,2,40,3,7,0,20,0,23,0,20,0,15,1,1092,123,374,33,41,7,138,0,18,2,51,10,1,0,3,1
10778,273818,473,8234,1453,20101,1423,11893,571,21766,218,2178,90,893,9,379,0,48,2,212,0,70,0,546,6,626,1,90,0,246,0,66,19,594,12,159,2,298,8,555,4,432,19,335,1,115,1,6,460,17513,30,32,112,1564,1824,14880,622,7587,40,889,10,179,1,4,652,37159,2,27,1,53,0,20,1,15,1,31,0,25,2,20,85,2499,37,771,6,364,5,207,0,77,1,373,0,0,2,12
9271,473,42979,40,3891,442,2492,202,3099,47,3047,51,5808,514,2654,1,119,2,324,12,240,0,525,15,181,12,404,1,472,15,76,8,5779,132,3116,92,1454,38,706,42,366,39,3183,138,582,13,176,6,285,2,306,41,221,3,458,107,1109,102,1015,41,920,120,62,3,9078,11,1648,2,233,1,364,6,347,0,205,3,336,6,842,8,3376,15,10539,21,4739,10,999,1,1101,7,1346,11,10,4,1118,12
214,8234,40,35363,216,2517,165,1539,14,3202,35,1403,94,2982,1,3025,0,190,3,380,2,269,1,1870,2,367,1,243,3,358,2,98,76,4038,48,1783,18,1117,19,807,21,566,83,2608,20,538,10,76,9,359,25,61,2,221,46,214,27,530,61,577,86,579,14,47,15,13914,1,163,1,92,9,162,1,84,1,105,5,109,19,346,10,4372,11,8944,9,2913,4,949,6,812,9,1262,3,9,36,398
14899,1453,3891,216,57386,5423,9369,2202,801,209,4205,502,15410,2478,29,5,7,0,88,4,9,0,155,30,207,53,30,1,163,13,63,5,2251,118,1476,89,126,22,151,34,242,41,2007,102,409,22,16,1,128,7,3114,321,114,5,11897,536,10383,588,963,47,586,54,5,1,178,23,30,0,77,3,19,3,21,0,85,3,83,2,119,0,974,109,2967,157,121,8,65,4,44,2,93,9,1,2,106,2
1535,20101,442,2517,5423,48922,3346,10574,164,1661,660,4629,1747,11863,0,38,2,12,5,66,5,9,15,205,37,499,2,22,25,199,7,125,125,1341,60,1586,25,183,25,218,34,357,92,1949,56,276,4,5,17,44,789,4576,3,10,686,13122,588,10814,85,1217,44,1117,1,7,35,198,5,11,11,67,2,16,2,9,11,50,11,70,9,10,112,1324,333,1646,12,106,9,28,4,29,12,81,1,1,14,22
21356,1423,2492,165,9369,3346,82422,1840,4007,294,6446,501,23762,636,86,1,31,0,160,4,18,0,507,18,1046,37,90,1,513,8,260,5,790,50,412,22,418,14,433,15,1039,31,875,38,902,9,9,0,154,6,190,77,43,3,221,314,1683,412,151,40,66,24,0,2,297,8,50,0,43,3,15,3,69,0,234,3,174,2,148,1,661,97,841,77,89,8,165,2,41,2,110,5,1,0,63,0
631,11893,202,1539,2202,10574,1840,38178,93,2379,368,7912,464,13767,2,88,0,37,1,154,0,37,13,878,15,3177,2,82,10,760,7,406,46,505,22,450,12,215,10,732,17,1384,42,1566,12,590,4,6,7,9,230,31,1,1,280,119,200,1188,37,114,17,105,0,1,8,163,2,25,1,27,0,10,0,21,6,168,6,126,4,15,60,565,113,412,7,75,5,82,2,24,5,77,0,0,1,16
19651,571,3099,14,801,164,4007,93,9309,61,12202,28,478,41,16,0,3,0,21,0,1,0,40,0,18,1,3,0,23,1,4,0,240,9,24,0,61,0,42,1,8,2,18,1,9,0,1,0,22,2,35,2,9,2,166,82,424,54,56,8,11,1,0,0,1001,4,5,0,4,1,0,0,2,0,3,1,2,0,1,0,3419,21,1138,3,110,1,24,0,27,1,98,4,0,0,1,0
756,21766,47,3202,209,1661,294,2379,61,15310,52,9106,32,682,0,34,0,15,0,175,0,5,0,201,0,254,0,7,0,65,0,12,12,556,6,99,3,529,0,498,0,392,5,158,3,26,0,0,10,18,7,13,2,0,72,146,42,599,12,56,2,37,0,0,17,4984,0,1,0,4,0,2,1,4,1,9,0,11,1,3,14,8366,5,2201,0,416,1,39,0,42,1,273,0,0,2,5
